b_title_statement_t/0,a_title_statement_t/0,imprint_s,title_statement_t/0,gender_s
"issues of gender, 'race', sexuality, disability and social class /","Education, equality and human rights :","Abingdon [etc.] : Routledge, 2012.","Education, equality and human rights : issues of gender, 'race', sexuality, disability and social class / edited by Mike Cole.",
"issues of gender, ""race"", sexuality, disability and social class /","Education, equality and human rights :","London [etc.] : Routledge, 2006.","Education, equality and human rights : issues of gender, ""race"", sexuality, disability and social class / edited by Mike Cole.",
"Race, Social Class, and Masculinity.",Intimate Partner Violence :,"El Paso : LFB Scholarly Pub. LLC, 2009.","Intimate Partner Violence : Race, Social Class, and Masculinity.",unknown
Perspectives and Applications.,"Culture, Social Class, and Race in Public Relations :","Lanham : Lexington Books, 2012.","Culture, Social Class, and Race in Public Relations : Perspectives and Applications.",male
,Teaching intersectionality: putting gender at the centre /,"[Utrecht etc.] : ATHENA3, 2009.",Teaching intersectionality: putting gender at the centre / ed. by Martha Franken ... [et al.],
"race, social class, and gang membership /",Juvenile arrest in America :,"El Paso : LFB Scholarly Pub., 2012.","Juvenile arrest in America : race, social class, and gang membership / Mike Tapia.",male
debates on a multi-faceted concept in gender studies /,Framing intersectionality :,"Farnham [etc.] : Ashgate, 2011.","Framing intersectionality : debates on a multi-faceted concept in gender studies / ed. by Helma Lutz, Maria Teresa Herrera Vivar, Linda Supik.",
"global, transnational and local contexts /","Analyzing gender, intersectionality, and multiple inequalities :","Bingley, UK : Emerald, 2011.","Analyzing gender, intersectionality, and multiple inequalities : global, transnational and local contexts / edited by Esther Ngan-Ling Chow, Marcia Texler Segal, Lin Tan.",
"Investigating the Triangle of Racial, Gender and Disability Discrimination /",European Union Non-Discrimination Law and Intersectionality :,"Burlington, VT : Ashgate Pub., ©2011.","European Union Non-Discrimination Law and Intersectionality : Investigating the Triangle of Racial, Gender and Disability Discrimination / edited by Dagmar Schiek and Anna Lawson.",
,"Gender equality, intersectionality and diversity in Europe /","New York, N.Y. : Palgrave Macmillan, 2013.","Gender equality, intersectionality and diversity in Europe / by Lise Rolandsen Agustín.",unknown
Debates on a Multi-Faceted Concept in Gender Studies /,Framing Intersectionality :,"Farnham, Surrey ; Burlington, VT : Ashgate Pub., ©2011.","Framing Intersectionality : Debates on a Multi-Faceted Concept in Gender Studies / edited by Helma Lutz, Maria Teresa Herrera Vivar, Linda Supik.",
,Transfeminist perspectives in and beyond transgender and gender studies /,"Philadelphia : Temple University Press, ©2012.",Transfeminist perspectives in and beyond transgender and gender studies / edited by Anne Enke.,
"transgender practices of identity, intimacy and care /",TransForming gender :,"Bristol, U.K. : Policy Press, 2007.","TransForming gender : transgender practices of identity, intimacy and care / Sally Hines.",male
"transgender practices of identity, intimacy and care /",Transforming gender :,"Bristol : Policy Press, 2007.","Transforming gender : transgender practices of identity, intimacy and care / Sally Hines.",male
towards a social analysis of gender diversity /,Transgender identities :,"London : Routledge, 2010.","Transgender identities : towards a social analysis of gender diversity / ed. by Sally Hines, Tam Sanger.",
"working with gay, lesbian, bisexual, and transgender people /",Sexual orientation and gender expression in social work practice :,"New York : Columbia University Press, ©2006.","Sexual orientation and gender expression in social work practice : working with gay, lesbian, bisexual, and transgender people / edited by Deana F. Morrow and Lori Messinger.",
"transgender, gay, and other Pacific islanders /",Gender on the edge :,,"Gender on the edge : transgender, gay, and other Pacific islanders / edited by Niko Besnier and Kalissa Alexeyeff.",
"investigating the triangle of racial, gender and disability discrimination /",European Union non-discrimination law and intersectionality :,"Farnham : Ashgate, cop. 2011.","European Union non-discrimination law and intersectionality : investigating the triangle of racial, gender and disability discrimination / ed. by Dagmar Schiek and Anna Lawson.",
the influence of social class on racial identity /,Multiracial Americans and social class :,"London ; New York : Routledge, ©2010.",Multiracial Americans and social class : the influence of social class on racial identity / edited by Kathleen Odell Korgen.,
cross-cultural understandings /,"Race, ethnicity and gender in education :","[Place of publication not identified] : Springer, 2009.","Race, ethnicity and gender in education : cross-cultural understandings / Joseph Zajda, Kassie Freeman, editors.",
,"Genre, gender, race, and world cinema /","Malden, MA, [etc.] : Blackwell, 2007.","Genre, gender, race, and world cinema / ed. by Julie F. Codell.",
"mediating race, globalizing gender /",Body as evidence :,"Albany, N.Y. : SUNY Press, ©2012.","Body as evidence : mediating race, globalizing gender / Janell Hobson.",unknown
sugar as a metaphor /,"Digesting race, class, and gender :","New York : Palgrave Macmillan, 2010.","Digesting race, class, and gender : sugar as a metaphor / Ivy Ken.",unknown
race and gender in french West Africa /,Colonial subjects :,"Bradford, England : Emerald Group Pub., ©2006.",Colonial subjects : race and gender in french West Africa / Dr. Claire H. Griffiths.,
,"Race, class, and gender in ""medieval"" cinema /","New York : Palgrave Macmillan, 2007.","Race, class, and gender in ""medieval"" cinema / edited by Lynn T. Ramey and Tison Pugh.",
,Handbook of race-ethnicity and gender in psychology /,,"Handbook of race-ethnicity and gender in psychology / Marie L. Miville, Angela D. Ferguson, editors.",
,"Race, gender, and sexuality in post-apocalyptic TV and film /",,"Race, gender, and sexuality in post-apocalyptic TV and film / edited by Barbara Gurr.",
,"Gender, Race, and Mourning in American Modernism.","Leiden : Cambridge University Press, 2011.","Gender, Race, and Mourning in American Modernism.",male
,"Routledge international handbook of race, class, and gender /",,"Routledge international handbook of race, class, and gender / edited by Shirley A. Jackson.",
,Intersectionality in educational research.,"Dulles : Stylus Publishing, 2015.",Intersectionality in educational research.,
,Social Class and Educational Inequality.,"Cambridge : Cambridge University Press, 2014.",Social Class and Educational Inequality.,unknown
"power, identity and lifestyle /",Social class in later life :,"Bristol : The Policy Press, 2015.","Social class in later life : power, identity and lifestyle / edited by Marvin Formosa and Paul Higgs.",
how does it work? /,Social class :,"New York : Russell Sage Foundation, ©2008.","Social class : how does it work? / Annette Lareau and Dalton Conley, editors.",
Classic Statements and Theoretical Debates.,Social Class and Stratification :,"Lanham : Rowman & Littlefield Publishers, 2006.",Social Class and Stratification : Classic Statements and Theoretical Debates.,unknown
"a cultural economy of race, gender, and kinship /",Transnational adoption :,"New York [etc.] : New York U.P., 2006.","Transnational adoption : a cultural economy of race, gender, and kinship / Sara K. Dorow.",male
,"Race, class, and gender in ""medieval"" cinema /","New York [etc.] : Palgrave Macmillan, 2007.","Race, class, and gender in ""medieval"" cinema / ed. by Lynn T. Ramey and Tison Pugh.",
intersectional approaches /,"Gender, race, class, and health :","San Francisco, California : Jossey-Bass, 2006.","Gender, race, class, and health : intersectional approaches / Amy J. Schulz, Leith Mullings, ed.",
"rethinking race, class, and gender in colonial settings /",Empires and boundaries :,"New York [etc.] : Routledge, 2009.","Empires and boundaries : rethinking race, class, and gender in colonial settings / ed. by Harald Fischer-Tiné en Susanne Gehrmann.",
"race, gender, and implicit understanding /",Knowing otherwise :,"University Park, Pa. : Pennsylvania State University Press, cop. 2011.","Knowing otherwise : race, gender, and implicit understanding / Alexis Shotwell.",unknown
"critical essays on race, ethnicity, gender, sexuality and disability /",Diversity in Disney films :,"Jefferson, North Carolina : McFarland & Company, Inc., Publishers, 2013.","Diversity in Disney films : critical essays on race, ethnicity, gender, sexuality and disability / edited by Johnson Cheu.",
"new conversations on gender, race, and religion /",Beyond the hijab debates :,"Newcastle upon Tyne, UK : Cambridge Scholars Pub., 2009.","Beyond the hijab debates : new conversations on gender, race, and religion / edited by Tanja Dreher and Christina Ho.",
remaking gender and race in South Africa /,Sex in transition :,"Albany, NY : State University of New York Press, 2012.",Sex in transition : remaking gender and race in South Africa / Amanda Lock Swarr.,female
"a century of gender, race, and paid care work /",Making Care Count :,"New Brunswick, NJ : Rutgers University Press, 2011.","Making Care Count : a century of gender, race, and paid care work / Mignon Duffy.",unknown
"Race, Class, Gender, and Mental Disorder in the Criminal Justice System.",Mad or Bad? :,"El Paso : LFB Scholarly Pub. LLC, 2010.","Mad or Bad? : Race, Class, Gender, and Mental Disorder in the Criminal Justice System.",female
"race, gender, and anti-vice activism, 1887-1917 /",White slave crusades :,"Urbana : University of Illinois Press, ©2006.","White slave crusades : race, gender, and anti-vice activism, 1887-1917 / Brian Donovan.",male
,"Issues in health and health care related to race/ethnicity, immigration, SES and gender /","Bingley, U.K. : Emerald, 2012.","Issues in health and health care related to race/ethnicity, immigration, SES and gender / edited by Jennie Jacobs Kronenfeld.",
"emancipation, gender, and race in German women's writing /",Enlightened reactions :,"Bern ; New York : Peter Lang, ©2011.","Enlightened reactions : emancipation, gender, and race in German women's writing / Traci S. O'Brien.",female
"how race, class, and gender shape American enterprise /",The new entrepreneurs :,"Stanford, Calif. : Stanford University Press, ©2011.","The new entrepreneurs : how race, class, and gender shape American enterprise / Zulema Valdez.",unknown
"gender, race, nation, and the making of Caribbean cultural politics /",Cultural conundrums :,"Ann Arbor : University of Michigan Press, ©2006.","Cultural conundrums : gender, race, nation, and the making of Caribbean cultural politics / Natasha Barnes.",female
"gender, race and ethnicity in the Nordic region /",Complying with colonialism :,"Farnham, England ; Burlington, VT. : Ashgate, ©2009.","Complying with colonialism : gender, race and ethnicity in the Nordic region / edited by Suvi Keskinen [and others].",
how ideas about race and gender shape public opinion /,Dangerous frames :,"Chicago : University of Chicago Press, 2008.",Dangerous frames : how ideas about race and gender shape public opinion / Nicholas J.G. Winter.,male
genealogies of race and gender /,Family bonds :,"Oxford ; New York : Oxford University Press, ©2007.",Family bonds : genealogies of race and gender / Ellen K. Feder.,unknown
"transforming the academy through race, class, and gender /",The intersectional approach :,"Chapel Hill : University of North Carolina Press, ©2009.","The intersectional approach : transforming the academy through race, class, and gender / edited by Michele Tracy Berger & Kathleen Guidroz.",
"race, class, and gender in interest group politics /",Affirmative advocacy :,"Chicago : University of Chicago Press, 2007.","Affirmative advocacy : race, class, and gender in interest group politics / Dara Z. Strolovitch.",unknown
"race, class, and gender in Kuwaiti women's fiction /","Male domination, female revolt :","Leiden ; Boston : Brill, 2009.","Male domination, female revolt : race, class, and gender in Kuwaiti women's fiction / by Ishaq Tijani.",male
,"Reproduction, race, and gender in philosophy and the early life sciences /",,"Reproduction, race, and gender in philosophy and the early life sciences / edited by Susanne Lettow.",
"critical perspectives on gender, race, and militarization /",Security disarmed :,"New Brunswick, N.J. : Rutgers University Press, ©2008.","Security disarmed : critical perspectives on gender, race, and militarization / edited by Barbara Sutton, Sandra Morgen, and Julie Novkov.",
"race, gender and the canon /",New directions in social theory :,"London ; Thousand Oaks, Calif. : SAGE, 2006.","New directions in social theory : race, gender and the canon / Kate Reed.",female
"gender, race, and heredity after the human genome project /",The material gene :,"New York : New York University Press, [2013]","The material gene : gender, race, and heredity after the human genome project / Kelly E. Happe.",unknown
"American explorations of colonialism, race, gender and sexuality /",Cannibal fictions :,"Madison, Wis. : University of Wisconsin Press, ©2006.","Cannibal fictions : American explorations of colonialism, race, gender and sexuality / Jeff Berglund.",unknown
"race, gender and citizenship /",Women in Israel :,"London : Zed Books Ltd., 2011.","Women in Israel : race, gender and citizenship / Nahla Abdo.",unknown
"race, gender, and the marked body in nineteenth-century America /",Identifying marks :,"Athens : University of Georgia Press, ©2006.","Identifying marks : race, gender, and the marked body in nineteenth-century America / Jennifer Putzi.",unknown
"conversations on gender, race, and war /",Interrogating imperialism :,"New York ; Basingstoke : Palgrave Macmillan, ©2006.","Interrogating imperialism : conversations on gender, race, and war / edited by Naeem Inayatullah and Robin Riley.",
"rethinking race, sex, and gender /",After identity :,"Cambridge, UK ; New York : Cambridge University Press, 2008.","After identity : rethinking race, sex, and gender / Georgia Warnke.",female
race and gender in the re-emergence of midwifery /,Obstructed labour :,"Vancouver [B.C.] : UBC Press, 2006.",Obstructed labour : race and gender in the re-emergence of midwifery / Sheryl Nestel.,unknown
"avoiding the pitfalls in: age, disability, gender, race, religion, sex and sexual orientation /",Discrimination law and employment issues :,"London : Thorogood, ©2006.","Discrimination law and employment issues : avoiding the pitfalls in: age, disability, gender, race, religion, sex and sexual orientation / David Martin.",unknown
"race, gender and the canon /",New directions in social theory :,"Thousand Oaks, Calif. ; London : SAGE, 2006.","New directions in social theory : race, gender and the canon / Kate Reed.",female
"actors, directors, producers, and writers on gender, race, and sexuality in film /",Filming difference :,"Austin : University of Texas Press, 2009.","Filming difference : actors, directors, producers, and writers on gender, race, and sexuality in film / edited by Daniel Bernardi.",
"race, gender, and class at the dinner table /",Secret ingredients :,"New York : Palgrave Macmillan, ©2006.","Secret ingredients : race, gender, and class at the dinner table / Sherrie A. Inness.",male
,"Gender, race and nationalism in contemporary black politics /","Basingstoke : Palgrave Macmillan, 2007.","Gender, race and nationalism in contemporary black politics / Nikol G. Alexander-Floyd.",unknown
"race, gender, and tort law /",The measure of injury :,"New York : New York University Press, ©2010.","The measure of injury : race, gender, and tort law / Martha Chamallas and Jennifer B. Wriggins.",unknown
,Gender and race in antebellum popular culture /,,Gender and race in antebellum popular culture / Sarah N. Roth.,male
"Emancipation, Gender, and Race in German Women's Writing.",Enlightened Reactions :,"Oxford : Lang, Peter, AG, Internationaler Verlag der Wissenschaften, 2012.","Enlightened Reactions : Emancipation, Gender, and Race in German Women's Writing.",female
race and gender in men's work /,No more invisible man :,"Philadelphia : Temple University Press, 2013.",No more invisible man : race and gender in men's work / Adia Harvey Wingfield.,unknown
How African American Women Broke Race and Gender Barriers to Help Win World War II.,Double Victory :,"Chicago : Chicago Review Press, 2013.",Double Victory : How African American Women Broke Race and Gender Barriers to Help Win World War II.,female
Sugar as a metaphor /,"Digesting race, class, and gender","Basingstoke : Palgrave Macmillan, 2010.","Digesting race, class, and gender [electronic resource] : Sugar as a metaphor / Ivy Ken.",unknown
"politics, gender, and race /",Science wars :,"New Brunswick [etc.] : Transaction Publishers, 2013.","Science wars : politics, gender, and race / Anthony Walsh.",male
Race and Gender in the Comic Books /,X-Men and the Mutant Metaphor :,,X-Men and the Mutant Metaphor : Race and Gender in the Comic Books / Joseph J. Darowski.,unknown
,"Reproduction, race, and gender in philosophy and the early life sciences /","Albany : State University of New York Press, 2014.","Reproduction, race, and gender in philosophy and the early life sciences / edited by Susanne Lettow.",
"race, gender and sexual orientation /",Controversies in equal protection cases in America :,"Farnham, Surrey, UK England ; Burlington, VT : Ashgate, [2015]","Controversies in equal protection cases in America : race, gender and sexual orientation / edited by Anne Richardson Oakes.",
"race, gender and modernity in Latin America and the Maghreb /","Performative bodies, hybrid tongues :","Oxford ; New York : Peter Lang, 2010.","Performative bodies, hybrid tongues : race, gender and modernity in Latin America and the Maghreb / Julian Vigo.",unknown
"emancipation, gender, and race in German women's writing /",Enlightened reactions :,"Oxford : New York ; Peter Lang, ©2011.","Enlightened reactions : emancipation, gender, and race in German women's writing / Traci S. O'Brien.",female
"gender, race and sexuality in the identities of contemporary Black men /","Hyper sexual, hyper masculine? :",,"Hyper sexual, hyper masculine? : gender, race and sexuality in the identities of contemporary Black men / edited by Brittany C. Slatton and Kamesha Spates.",
"gender, race, and justice in Syracuse /",A place we call home :,"Syracuse, N.Y. : Syracuse University Press, ©2012.","A place we call home : gender, race, and justice in Syracuse / K. Animashaun Ducre.",unknown
"race, gender, and the body in beauty service work /",The managed hand :,"Berkeley : University of California Press, ©2010.","The managed hand : race, gender, and the body in beauty service work / Miliann Kang.",female
"race, gender, and sentencing in Canada /",To right historical wrongs :,,"To right historical wrongs : race, gender, and sentencing in Canada / Carmela Murdocca.",unknown
Jennifer M. Wilks ... [et al.].,"Race, gender, & comparative Black modernism :","Baton Rouge : Louisiana State University Press, 2008.","Race, gender, & comparative Black modernism : Jennifer M. Wilks ... [et al.].",unknown
"gender, race, and political success /",The Latina advantage :,"Austin : University of Texas Press, 2013.","The Latina advantage : gender, race, and political success / Christina E. Bejarano.",male
"race, class, gender, and the digital divide in Austin /",Inequity in the technopolis :,"Austin : University of Texas Press, ©2012.","Inequity in the technopolis : race, class, gender, and the digital divide in Austin / edited by Joseph Straubhaar [and others].",
"mediations of race, gender, and violence /",Discourses of denial :,"Vancouver : UBC Press, ©2006.","Discourses of denial : mediations of race, gender, and violence / Yasmin Jiwani.",female
"race, gender, and the failure of natural law in Thomas's biblical commentaries /",Aquinas on the Supreme Court :,"Hoboken : Wiley, 2013.","Aquinas on the Supreme Court : race, gender, and the failure of natural law in Thomas's biblical commentaries / Eugene F. Rogers Jr.",male
"essays on gender, race, and region /",North and south :,,"North and south : essays on gender, race, and region / edited by Christine DeVine and Mary Ann Wilson.",
"interdisciplinary studies on race, gender and social justice in Ireland.",Facing the other /,"Newcastle : Cambridge Scholars, 2008.","Facing the other / edited by Borbála Faragó and Moynagh Sullivan. : interdisciplinary studies on race, gender and social justice in Ireland.",
race and gender in twentieth-century literature /,Constructing the literary self :,,Constructing the literary self : race and gender in twentieth-century literature / edited by Patsy J. Daniels.,
Race and Gender Politics in African American Literature.,Writing through Jane Crow :,"Charlottesville : University of Virginia Press, 2014.",Writing through Jane Crow : Race and Gender Politics in African American Literature.,unknown
"race, gender, and the meaning of hip-hop /",Thug life :,,"Thug life : race, gender, and the meaning of hip-hop / Michael P. Jeffries.",male
"race, gender, culture, nationality, and roles /",Navigating multiple identities :,"Oxford ; New York : Oxford University Press, ©2012.","Navigating multiple identities : race, gender, culture, nationality, and roles / edited by Ruthellen Josselson and Michele Harway.",
gender and race through blind eyes /,Sight unseen :,"New York : Columbia University Press, ©2015.",Sight unseen : gender and race through blind eyes / Ellyn Kaschak.,female
"awakening through race, sexuality, and gender /",The way of tenderness :,,"The way of tenderness : awakening through race, sexuality, and gender / Zenju Earthlyn Manuel.",unknown
"gender, race, and power in the revolutionary Atlantic /",Enterprising women :,,"Enterprising women : gender, race, and power in the revolutionary Atlantic / Kit Candlin and Cassandra Pybus.",unknown
"race, gender and sexuality at the movies /",Contemporary Black American cinema :,"New York : Routledge, 2012.","Contemporary Black American cinema : race, gender and sexuality at the movies / edited by Mia Mask.",
"race, gender and the Haitian Loas on screen /",Zombifying a nation :,"Jefferson, North Carolina : McFarland & Company, Inc., Publishers, 2016.","Zombifying a nation : race, gender and the Haitian Loas on screen / Toni Pressley-Sanon.",female
,"Gender, race, and patriotism in the works of Nísia Floresta /","Woodbridge, Suffolk, UK ; Rochester, NY : Tamesis, 2012.","Gender, race, and patriotism in the works of Nísia Floresta / Charlotte Hammond Matthews.",female
,Race and racism in modern East Asia.,,"Race and racism in modern East Asia. Vol. II, Interactions, nationalism, gender and lineage / edited by Rotem Kowner and Walter Demel.",
Gender and Race in American History /,Interconnections :,"Cambridge : Cambridge University Press, 2013.","Interconnections : Gender and Race in American History / edited by Carol Faulkner, Alison M. Parker.",
"the construction of race, gender, and sexuality /",Asian American sexual politics :,"Lanham, Md. : Rowman & Littlefield, ©2012.","Asian American sexual politics : the construction of race, gender, and sexuality / Rosalind S. Chou.",male
How Race and Gender Impact Work and Home Lives.,The Face of Discrimination :,"Lanham : Rowman & Littlefield Publishers, 2007.",The Face of Discrimination : How Race and Gender Impact Work and Home Lives.,unknown
"the Intersection of Race/Ethnicity, Class, and Gender.",Understanding Inequality :,"Lanham : Rowman & Littlefield Publishers, 2007.","Understanding Inequality : the Intersection of Race/Ethnicity, Class, and Gender.",male
"gender, sexuality, and race /",The Oxford handbook of Shakespeare and embodiment :,,"The Oxford handbook of Shakespeare and embodiment : gender, sexuality, and race / edited by Valerie Traub.",
,Theorizing intersectionality and sexuality /,"Houndmills, Basingstoke, Hampshire ; New York : Palgrave Macmillan, 2011.","Theorizing intersectionality and sexuality / edited by Yvette Taylor, Sally Hines and Mark E. Casey.",
,Intersectionality and social change /,,Intersectionality and social change / edited by Lynne M. Woehrle ; contributors Jessica L. Beyer [and twelve others].,
"identities, policies, spaces & power /",Intersectionality and urban education :,,"Intersectionality and urban education : identities, policies, spaces & power / edited by Carl A. Grant, Elisabeth Zwier.",
,Jewish feminism and intersectionality /,,Jewish feminism and intersectionality / Marla Brettschneider.,female
"origins, contestations, horizons /",Intersectionality :,,"Intersectionality : origins, contestations, horizons / Anna Carastathis.",female
"origins, contestations, horizons /",Intersectionality :,,"Intersectionality : origins, contestations, horizons / Anna Carastathis.",female
,Transgender history /,"Berkeley, CA : Seal Press : Distributed by Publishers Group West, ©2008.",Transgender history / Susan Stryker.,transgender female
social class and infertility in America /,Misconception :,,Misconception : social class and infertility in America / Ann V. Bell.,unknown
,Social class and changing families in an unequal America /,"Stanford, Calif. : Stanford University Press, ©2011.",Social class and changing families in an unequal America / edited by Marcia J. Carlson and Paula England.,
theories and manifestations /,Social class on campus :,"Sterling, Va. : Stylus Pub., 2011.",Social class on campus : theories and manifestations / Will Barratt.,male
"research, theory, and practice /",Social class and classism in the helping professions :,"Thousand Oaks : SAGE, ©2011.","Social class and classism in the helping professions : research, theory, and practice / William M. Liu.",male
reflections on poetry and social class /,The stamp of class :,"Ann Arbor : University of Michigan Press, ©2006.",The stamp of class : reflections on poetry and social class / Gary Lenhart.,male
"British fiction, fantasy, and social class /",Imperial masochism :,"Princeton : Princeton University Press, ©2007.","Imperial masochism : British fiction, fantasy, and social class / John Kucich.",unknown
,The new encyclopedia of Southern culture.,"Chapel Hill : University of North Carolina Press, ©2012.","The new encyclopedia of Southern culture. Volume 20, Social class / Larry J. Griffin & Peggy G. Hargis, volume editors.",
"gangs, gangsta rap, and social class /",Chicago hustle and flow :,,"Chicago hustle and flow : gangs, gangsta rap, and social class / Geoff Harkness.",unknown
,Social class and changing families in an unequal America /,"Stanford, CA : Stanford University Press, 2011.",Social class and changing families in an unequal America / edited by Marcia J. Carlson and Paula England.,
,Sociolinguistics of style and social class in contemporary Athens /,,Sociolinguistics of style and social class in contemporary Athens / Irene Theodoropoulou.,female
how race and gender impact work and home lives /,The face of discrimination :,"Lanham [etc.] : Rowman & Littlefield, 2007.",The face of discrimination : how race and gender impact work and home lives / Vincent J. Roscigno.,unknown
"essays on race, gender, and literary discourse /",New voices on the Harlem Renaissance :,"Madison [etc.] : Fairleigh Dickinson University Press, 2006.","New voices on the Harlem Renaissance : essays on race, gender, and literary discourse / ed. by Australia Tarver and Paula C. Barnes.",
"essays on gender, race, and culture /","Draculas, vampires, and other undead forms :","Lanham, Maryland, [etc.] : Scarecrow Press, Inc., 2009.","Draculas, vampires, and other undead forms : essays on gender, race, and culture / ed. by John Edgar Browning, Caroline Joan (Kay) Picart.",
"race, gender, and ethnicity in a biopolitical age /",America's new working class :,,"America's new working class : race, gender, and ethnicity in a biopolitical age / Kathleen R. Arnold.",female
"race, gender, and sexuality in contemporary films for children /",Animating difference :,"Lanham [etc.] : Rowman & Littlefield Publishers, cop. 2010.","Animating difference : race, gender, and sexuality in contemporary films for children / C. Richard King, Carmen R. Lugo-Lugo, Mary K. Bloodsworth-Lugo.",unknown
"conversations with black women scientists about race, gender, and their passion for science /",Sisters in science :,"West Lafayette, Indiana : Purdue University Press, cop. 2006.","Sisters in science : conversations with black women scientists about race, gender, and their passion for science / [interviews by] Diann Jordan.",female
race and gender in America's civil courts /,The juror factor :,"El Paso : LFB Scholarly Pub. LLC, ©2009.",The juror factor : race and gender in America's civil courts / Sean G. Overland.,unknown
"teaching with gender, European women's studies in international and interdisciplinary classrooms /",Teaching race with a gendered edge :,"Budapest ; New York : Central European University Press, ©2012.","Teaching race with a gendered edge : teaching with gender, European women's studies in international and interdisciplinary classrooms / [edited by] Brigitte Hipfl and Kristin Loftsdóttir.",
"race, gender, and the transformation of labor from reconstruction to globalization /",Looking south :,"Gainesville, Fla. : University Press of Florida, 2011.","Looking south : race, gender, and the transformation of labor from reconstruction to globalization / Mary E. Frederickson ; foreword by Stanley Harrold and Randall M. Miller.",female
the descendants of Thomas Jefferson and Sally Hemings /,"Modern and postmodern narratives of race, gender, and identity :","New York : Peter Lang, ©2010.","Modern and postmodern narratives of race, gender, and identity : the descendants of Thomas Jefferson and Sally Hemings / Yoriko Ishida.",unknown
"examining commercialization, labor, gender, and race in 21st century sports law /",Reversing field :,"Morgantown : West Virginia University Press, 2010.","Reversing field : examining commercialization, labor, gender, and race in 21st century sports law / edited by Andre Douglas Pond Cummings, Anne Marie Lofaso.",female
"race, gender, sex and modernity in Latin America and the Maghreb /","Performative bodies, hybrid tongues :","New York : Peter Lang, 2010.","Performative bodies, hybrid tongues : race, gender, sex and modernity in Latin America and the Maghreb / Julian Vigo.",male
the play of race and gender in an Afro-Ecuadorian festival /,Kings for three days :,,Kings for three days : the play of race and gender in an Afro-Ecuadorian festival / Jean Muteba Rahier.,unknown
"Considering the Intersection of Race, Gender, and the Needs of Black Female Undergraduates /",Support Systems and Services for Diverse Populations :,"Bingley, UK : Emerald, 2011.","Support Systems and Services for Diverse Populations : Considering the Intersection of Race, Gender, and the Needs of Black Female Undergraduates / edited by Crystal Renée Chambers.",
"race, gender, and violence in pre-Civil War Kansas /",Bleeding borders :,"Baton Rouge : Louisiana State University Press, ©2009.","Bleeding borders : race, gender, and violence in pre-Civil War Kansas / Kristen Tegtmeier Oertel.",male
race and gender in the modern charismatic movement /,It's a new day :,"Tuscaloosa, Ala. : University of Alabama Press, ©2008.",It's a new day : race and gender in the modern charismatic movement / Scott Billingsley.,male
"Suzanne Lacascade, Marita Bonner, Suzanne Césaire, Dorothy West /","Race, gender, & comparative Black modernism :","Baton Rouge : Louisiana State University Press, ©2008.","Race, gender, & comparative Black modernism : Suzanne Lacascade, Marita Bonner, Suzanne Césaire, Dorothy West / Jennifer M. Wilks.",unknown
"race, gender, family, and memory in the postmodern West /",Searching for Yellowstone :,"Walnut Creek, Calif. : Left Coast Press, ©2008.","Searching for Yellowstone : race, gender, family, and memory in the postmodern West / Norman K. Denzin.",unknown
"race, class, and gender in theory, policy, and practice /",Emerging intersections :,"New Brunswick, N.J. : Rutgers University Press, ©2009.","Emerging intersections : race, class, and gender in theory, policy, and practice / edited by Bonnie Thornton Dill and Ruth Enid Zambrana ; foreword by Patricia Hill Collins.",
"African American men's experiences of race, gender, and violence /",Through our eyes :,"New Brunswick, N.J. : Rutgers University Press, ©2010.","Through our eyes : African American men's experiences of race, gender, and violence / Gail Garfield.",female
"race, gender, and resettlement, 1959-1979 /",Questioning the Cuban exile model :,"El Paso : LFB Scholarly Pub. LLC, 2010.","Questioning the Cuban exile model : race, gender, and resettlement, 1959-1979 / Cheris Brewer Current.",unknown
"negotiating and mediating race, gender, and disability within family and schools /",Crises of identifying :,"Charlotte, N.C. : Information Age Pub., 2013.","Crises of identifying : negotiating and mediating race, gender, and disability within family and schools / Dymaneke D. Mitchell.",unknown
"race, class, and gender in the South /",The silencing of Ruby McCollum :,"Gainesville, FL : University Press of Florida, ©2006.","The silencing of Ruby McCollum : race, class, and gender in the South / Tammy Evans ; foreword by Jacqueline Jones Royster ; afterword by Lynn Worsham.",unknown
"identity, race, and gender in Brazil /",The sorcery of color :,"Philadelphia : Temple University Press, 2007.","The sorcery of color : identity, race, and gender in Brazil / Elisa Larkin Nascimento.",male
